"Criteria ID","Name"
"1013571","Baldwin Park"
"1013572","Bangor"
"1013573","Banning"
"1013574","Barstow"
"1013575","Beale AFB"
"1013576","Beaumont"
"1013577","Bell"
"1013578","Bell Gardens"
"1013579","Bella Vista"
"1013580","Bellflower"
"1013581","Belmont"
"1013582","Belvedere Tiburon"
"1013583","Ben Lomond"
"1013584","Benicia"
"1013585","Berkeley"
"1013586","Bethel Island"
"1013587","Beverly Hills"
"1013588","Big Bear"
"1013589","Big Bear Lake"
"1013590","Big Bend"
"1013591","Big Creek"
"1013592","Groveland-Big Oak Flat"
"1013593","Big Pine"
"1013594","Big Sur"
"1013595","Biggs"
"1013596","Bishop"
"1013597","Blairsden-Graeagle"
"1013598","Bloomington"
"1013599","Blue Jay"
"1013600","Blue Lake"
"1013601","Blythe"
"1013602","Bodega Bay"
"1013603","Bolinas"
"1013605","Bonsall"
"1013606","Boonville"
"1013607","Boron"
"1013608","Borrego Springs"
"1013609","Boulder Creek"
"1013610","Boyes Hot Springs"
"1013611","Bradley"
"1013612","Brawley"
"1013613","Brea"
"1013614","Brentwood"
"1013615","Bridgeport"
"1013617","Brisbane"
"1013618","Brookdale"
"1013620","Buellton"
"1013621","Buena Park"
"1013622","Burbank"
"1013623","Burlingame"
"1013624","Burney"
"1013625","Burrel"
"1013626","Butte City"
"1013627","Buttonwillow"
"1013628","Byron"
"1013629","Cabazon"
"1013630","Calabasas"
"1013631","Calexico"
"1013632","California City"
"1013633","California Hot Springs"
"1013634","Calimesa"
"1013635","Calipatria"
"1013636","Calistoga"
"1013637","Calpella"
"1013638","Camarillo"
"1013639","Cambria"
"1013640","Camino"
"1013641","Camp Pendleton North"
"1013642","Campbell"
"1013643","Campo"
"1013644","Camptonville"
"1013645","Canoga Park"
"1013646","Canyon"
"1013647","Canyon Country"
"1013648","Capistrano Beach"
"1013649","Capitola"
"1013650","Cardiff"
"1013651","Carlsbad"
"1013652","Carmel"
"1013653","Carmel Valley"
"1013654","Carmichael"
"1013655","Carpinteria"
"1013656","Carson"
"1013657","Caruthers"
"1013658","Castaic"
"1013659","Castro Valley"
"1013660","Castroville"
"1013661","Cathedral City"
"1013662","Cayucos"
"1013663","Cazadero"
"1013664","Cedar Glen"
"1013665","Ceres"
"1013666","Cerritos"
"1013667","Challenge"
"1013668","Chatsworth"
"1013669","Chester"
"1013670","Chicago Park"
"1013671","Chico"
"1013672","Chinese Camp"
"1013673","Chino"
"1013674","Chino Hills"
"1013675","Chowchilla"
"1013676","Chualar"
"1013677","Chula Vista"
"1013678","Citrus Heights"
"1013679","City of Industry"
"1013680","Claremont"
"1013681","Clayton"
"1013682","Clearlake"
"1013683","Clearlake Oaks"
"1013684","Clements"
"1013685","Cloverdale"
"1013686","Clovis"
"1013687","Coachella"
"1013688","Coalinga"
"1013689","Cobb"
"1013690","Coleville"
"1013691","Colfax"
"1013692","Coloma"
"1013693","Colton"
"1013694","Columbia"
"1013695","Colusa"
"1013696","Compton"
"1013697","Concord"
"1013698","Copperopolis"
"1013699","Corcoran"
"1013700","Corning"
"1013701","Corona"
"1013702","Corona Del Mar"
"1013703","Coronado"
"1013704","Corte Madera"
"1013705","Costa Mesa"
"1013706","Cottonwood"
"1013707","Coulterville"
"1013708","Covelo"
"1013709","Covina"
"1013710","Crescent City"
"1013711","Crestline"
"1013712","Crockett"
"1013713","Crows Landing"
"1013714","Culver City"
"1013715","Cupertino"
"1013716","Cypress"
"1013717","Daggett"
"1013718","Daly City"
"1013719","Dana Point"
"1013720","Danville"
"1013721","Davis"
"1013722","Death Valley"
"1013723","Deer Park"
"1013724","Del Mar"
"1013725","Delano"
"1013726","Delhi"
"1013727","Del Rio"
"1013728","Desert Center"
"1013730","Diablo"
"1013731","Diamond Bar"
"1013732","Diamond Springs"
"1013733","Dinuba"
"1013734","Dixon"
"1013735","Dorris"
"1013736","Dos Palos"
"1013737","Downey"
"1013738","Downieville"
"1013739","Duarte"
"1013740","Dublin"
"1013741","Ducor"
"1013742","Dunnigan"
"1013743","Dunsmuir"
"1013744","Durham"
"1013745","Dutch Flat"
"1013746","Earlimart"
"1013747","Earp"
"1013749","Edison"
"1013750","Edwards"
"1013751","El Cajon"
"1013752","El Centro"
"1013753","El Cerrito"
"1013755","El Dorado Hills"
"1013756","El Granada"
"1013757","El Monte"
"1013758","El Segundo"
"1013759","El Sobrante"
"1013760","Eldridge"
"1013761","Elk"
"1013762","Elk Creek"
"1013763","Elk Grove"
"1013764","Elmira"
"1013765","Elverta"
"1013766","Emeryville"
"1013767","Empire"
"1013768","Encinitas"
"1013769","Encino"
"1013770","Escalon"
"1013771","Escondido"
"1013772","Esparto"
"1013773","Etna"
"1013774","Eureka"
"1013775","Exeter"
"1013776","Fair Oaks"
"1013777","Fairfax"
"1013778","Fairfield"
"1013779","Fall River Mills"
"1013780","Fallbrook"
"1013781","Farmersville"
"1013782","Farmington"
"1013783","Felton"
"1013784","Ferndale"
"1013785","Fiddletown"
"1013786","Fillmore"
"1013787","Firebaugh"
"1013788","Five Points"
"1013789","Folsom"
"1013790","Fontana"
"1013791","Foothill Ranch"
"1013792","Forbestown"
"1013793","Forest Knolls"
"1013794","Forest Ranch"
"1013795","Foresthill"
"1013796","Forestville"
"1013797","Fortuna"
"1013798","Fountain Valley"
"1013799","Fowler"
"1013800","Frazier Park"
"1013801","Freedom"
"1013802","Fremont"
"1013803","French Gulch"
"1013804","Fresno"
"1013805","Friant"
"1013806","Fort Bragg"
"1013807","Fort Irwin"
"1013808","Fullerton"
"1013809","Fulton"
"1013810","Galt"
"1013811","Garberville"
"1013812","Garden Grove"
"1013813","Gardena"
"1013814","Gazelle"
"1013815","Georgetown"
"1013816","Geyserville"
"1013817","Gilroy"
"1013818","Glen Ellen"
"1013819","Glendale"
"1013820","Glendora"
"1013821","Glennville"
"1013822","Goleta"
"1013823","Gonzales"
"1013824","Granada Hills"
"1013825","Grand Terrace"
"1013826","Grass Valley"
"1013827","Greenbrae"
"1013828","Greenfield"
"1013829","Greenville"
"1013830","Greenwood"
"1013831","Grenada"
"1013832","Gridley"
"1013833","Grizzly Flats"
"1013834","Groveland"
"1013835","Grover Beach"
"1013836","Guadalupe"
"1013837","Gualala"
"1013838","Guerneville"
"1013839","Guinda"
"1013840","Gustine"
"1013841","Hacienda Heights"
"1013842","Half Moon Bay"
"1013843","Hanford"
"1013844","Happy Camp"
"1013845","Harbor City"
"1013846","Hawthorne"
"1013847","Hayfork"
"1013848","Hayward"
"1013849","Healdsburg"
"1013850","Heber"
"1013851","Helendale"
"1013852","Hemet"
"1013853","Herald"
"1013854","Hercules"
"1013855","Herlong"
"1013856","Hermosa Beach"
"1013857","Hesperia"
"1013858","Hickman"
"1013859","Highland"
"1013860","Hilmar"
"1013861","Hollister"
"1013862","Holtville"
"1013864","Homewood"
"1013865","Honeydew"
"1013866","Hoopa"
"1013867","Hornbrook"
"1013868","Hughson"
"1013869","Huntington Beach"
"1013870","Huntington Park"
"1013871","Huron"
"1013872","Hydesville"
"1013873","Idyllwild"
"1013874","Igo"
"1013875","Imperial"
"1013876","Imperial Beach"
"1013877","Independence"
"1013878","Indian Wells"
"1013879","Indio"
"1013880","Inglewood"
"1013881","Inverness"
"1013882","Ione"
"1013883","Irvine"
"1013884","Isleton"
"1013885","Ivanhoe"
"1013886","Jackson"
"1013887","Jacumba Hot Springs"
"1013888","Jamestown"
"1013889","Jamul"
"1013890","Jenner"
"1013891","Joshua Tree"
"1013892","Julian"
"1013893","June Lake"
"1013894","Kelseyville"
"1013895","Kentfield"
"1013896","Kenwood"
"1013897","Kerman"
"1013898","Kernville"
"1013899","King City"
"1013900","Kings Beach"
"1013901","Kings Canyon National Park"
"1013902","Kingsburg"
"1013903","Klamath"
"1013904","Kneeland"
"1013905","Knights Landing"
"1013906","Knightsen"
"1013907","La Canada Flintridge"
"1013908","La Crescenta-Montrose"
"1013909","La Habra"
"1013910","La Honda"
"1013912","La Mesa"
"1013913","La Mirada"
"1013914","La Palma"
"1013915","La Puente"
"1013916","La Quinta"
"1013917","La Verne"
"1013918","Ladera Ranch"
"1013919","Lafayette"
"1013920","Laguna Beach"
"1013921","Laguna Hills"
"1013922","Laguna Niguel"
"1013923","Lake Arrowhead"
"1013924","Lake Elsinore"
"1013925","Lake Forest"
"1013926","Lake Hughes"
"1013927","Lake Isabella"
"1013928","Lakeport"
"1013929","Lakeside"
"1013930","Lakewood"
"1013931","Lancaster"
"1013932","Larkspur"
"1013933","Lathrop"
"1013934","Laton"
"1013935","Lawndale"
"1013936","Laytonville"
"1013937","Le Grand"
"1013938","Lebec"
"1013939","Lee Vining"
"1013940","Leggett"
"1013941","Lemon Cove"
"1013942","Lemon Grove"
"1013943","Lemoore"
"1013944","Lewiston"
"1013945","Lincoln"
"1013946","Linden"
"1013947","Lindsay"
"1013948","Littlerock"
"1013949","Live Oak"
"1013950","Livermore"
"1013951","Livingston"
"1013952","Lockeford"
"1013953","Lodi"
"1013954","Loma Linda"
"1013955","Lomita"
"1013956","Lompoc"
"1013957","Lone Pine"
"1013958","Long Beach"
"1013959","Loomis"
"1013960","Los Alamitos"
"1013961","Los Altos"
"1013962","Los Angeles"
"1013963","Los Banos"
"1013964","Los Gatos"
"1013965","Los Molinos"
"1013966","Los Olivos"
"1013967","Los Osos"
"1013968","Lost Hills"
"1013969","Lower Lake"
"1013970","Loyalton"
"1013971","Lucerne"
"1013972","Lucerne Valley"
"1013973","Lynwood"
"1013974","Lyoth"
"1013975","Mad River"
"1013976","Madera"
"1013977","Magalia"
"1013978","Malibu"
"1013979","Mammoth Lakes"
"1013980","Manhattan Beach"
"1013981","Manteca"
"1013982","March Air Reserve Base"
"1013983","Marina"
"1013984","Marina del Rey"
"1013985","Mariposa"
"1013986","Markleeville"
"1013987","Marshall"
"1013988","Martinez"
"1013989","Marysville"
"1013990","Mather"
"1013991","Maxwell"
"1013992","Maywood"
"1013993","McFarland"
"1013994","McKittrick"
"1013995","McClellan Park"
"1013996","McKinleyville"
"1013997","Meadow Vista"
"1013998","Mecca"
"1013999","Mendocino"
"1014000","Mendota"
"1014001","Menifee"
"1014002","Menlo Park"
"1014003","Mentone"
"1014004","Merced"
"1014005","Meridian"
"1014006","Mi-Wuk Village"
"1014007","Middletown"
"1014008","Midway City"
"1014009","Mill Valley"
"1014010","Millbrae"
"1014011","Millville"
"1014012","Milpitas"
"1014013","Mira Loma"
"1014014","Miramonte"
"1014015","Miranda"
"1014016","Mission Hills"
"1014017","Mission Viejo"
"1014018","Moccasin"
"1014019","Modesto"
"1014020","Mojave"
"1014021","Mokelumne Hill"
"1014022","Monrovia"
"1014023","Montague"
"1014024","Montara"
"1014025","Montclair"
"1014026","Monte Rio"
"1014027","Montebello"
"1014028","Monterey"
"1014029","Monterey Park"
"1014031","Moorpark"
"1014032","Moraga"
"1014033","Moreno Valley"
"1014034","Morgan Hill"
"1014035","Morro Bay"
"1014036","Moss Beach"
"1014037","Moss Landing"
"1014039","Mount Baldy"
"1014040","Mount Hamilton"
"1014041","Mount Laguna"
"1014042","Mount Shasta"
"1014043","Mount Wilson"
"1014044","Mountain View"
"1014045","Murrieta"
"1014046","Napa"
"1014047","National City"
"1014048","Navarro"
"1014049","Needles"
"1014050","Nevada City"
"1014051","New Cuyama"
"1014052","Newark"
"1014053","Newberry Springs"
"1014054","Newbury Park"
"1014055","Newcastle"
"1014056","Newhall"
"1014057","Newman"
"1014058","Newport Beach"
"1014059","Newport Coast"
"1014060","Nicasio"
"1014061","Nicolaus"
"1014062","Nipomo"
"1014063","Norco"
"1014064","Norden"
"1014065","North Fork"
"1014066","North Highlands"
"1014067","North Hills"
"1014069","Desert Hot Springs"
"1014070","North San Juan"
"1014072","Norwalk"
"1014073","Novato"
"1014074","Nuevo"
"1014075","O'Neals"
"1014076","Oak Park"
"1014077","Oak View"
